service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:TN:44989489,1,1,1,1,1,0,0,20251230,20260126
IDFM:TN:44989493,1,1,1,1,1,0,0,20251230,20260126
IDFM:TN:44989510,1,0,0,0,0,0,0,20251229,20251229
IDFM:TN:44989553,1,1,1,1,1,0,0,20260102,20260126
IDFM:TN:44989608,0,0,0,0,0,1,1,20260101,20260125
IDFM:TN:44989697,0,0,0,0,0,1,1,20260103,20260125
IDFM:TN:44989700,0,0,0,0,0,0,1,20260101,20260125
IDFM:TN:44989708,0,0,0,0,0,0,1,20260104,20260125
IDFM:TN:44989723,0,0,0,1,0,0,0,20260101,20260101
IDFM:TN:44989760,1,1,1,1,1,0,0,20260112,20260126
IDFM:TN:44989762,1,0,1,1,1,0,0,20260112,20260126
IDFM:TN:44989765,1,1,1,1,1,0,0,20260112,20260116
IDFM:TN:44989785,1,0,0,0,0,0,0,20260119,20260126
IDFM:TN:44989789,0,1,0,0,0,0,0,20260113,20260120
IDFM:TN:44989790,0,0,0,0,1,0,0,20260102,20260109
IDFM:TN:44989791,0,1,0,0,1,0,0,20251230,20260109
IDFM:TN:44989803,0,1,0,0,0,0,0,20251230,20251230
IDFM:TN:44989825,0,1,1,0,0,0,0,20251230,20251231
IDFM:TN:44989868,0,0,0,0,0,1,0,20260103,20260124
IDFM:TN:44989991,0,0,1,0,0,0,0,20251231,20251231
IDFM:TN:44989995,0,0,0,0,0,0,1,20260104,20260125
IDFM:TN:44990009,0,0,0,0,0,0,1,20260125,20260125
IDFM:TN:44990029,0,0,0,0,0,1,1,20260101,20260124
IDFM:TN:44990040,0,0,0,0,0,0,1,20260118,20260118
IDFM:TN:44990107,0,1,1,0,1,0,0,20251230,20260109
IDFM:TN:44990127,0,0,0,0,1,0,0,20260102,20260109
IDFM:TN:44990148,0,1,0,0,0,0,0,20260106,20260106
IDFM:TN:44990171,1,1,1,1,1,0,0,20251230,20260126
IDFM:TN:44990172,1,1,1,1,1,0,0,20251230,20260126
IDFM:TN:44990173,1,1,1,1,1,0,0,20260101,20260126
IDFM:TN:44990174,1,1,1,1,1,0,0,20251230,20260126
IDFM:TN:44990187,0,0,0,0,0,1,1,20260101,20260111
IDFM:TN:44990194,0,0,0,0,0,1,0,20260103,20260110
IDFM:TN:44990196,1,1,1,1,1,0,0,20251230,20260126
IDFM:TN:44990199,1,1,1,1,1,0,0,20260102,20260126
IDFM:TN:44990216,0,0,0,0,0,1,1,20251230,20260111
IDFM:TN:44990229,1,1,1,1,1,0,0,20260106,20260126
IDFM:TN:44990261,0,0,0,0,0,0,1,20260104,20260111
IDFM:TN:44990394,0,1,1,1,1,1,1,20251230,20260111
IDFM:TN:44990396,0,0,0,1,1,1,1,20260101,20260111
IDFM:TN:44990398,0,1,1,0,1,1,0,20251230,20260110
IDFM:TN:44990404,0,1,0,1,1,1,1,20251230,20260111
IDFM:TN:44990415,0,0,0,0,1,1,0,20260102,20260110
IDFM:TN:44990615,0,0,0,0,0,1,1,20260103,20260111
