service_id,date,exception_type
IDFM:TN:44989489,20260101,2
IDFM:TN:44989489,20251231,2
IDFM:TN:44989493,20260101,2
IDFM:TN:44989608,20260101,1
IDFM:TN:44989700,20260101,1
IDFM:TN:44989785,20260123,1
IDFM:TN:44989785,20260122,1
IDFM:TN:44989785,20260121,1
IDFM:TN:44989785,20260120,1
IDFM:TN:44989790,20260108,1
IDFM:TN:44989790,20260107,1
IDFM:TN:44989790,20260106,1
IDFM:TN:44989790,20260105,1
IDFM:TN:44989791,20260108,1
IDFM:TN:44989791,20260107,1
IDFM:TN:44989791,20260105,1
IDFM:TN:44989995,20260118,2
IDFM:TN:44990029,20260101,1
IDFM:TN:44990107,20260108,1
IDFM:TN:44990107,20260105,1
IDFM:TN:44990127,20260108,1
IDFM:TN:44990127,20260107,1
IDFM:TN:44990127,20260105,1
IDFM:TN:44990171,20260103,1
IDFM:TN:44990171,20260101,2
IDFM:TN:44990171,20260110,1
IDFM:TN:44990172,20260104,1
IDFM:TN:44990172,20260103,1
IDFM:TN:44990172,20260111,1
IDFM:TN:44990172,20260110,1
IDFM:TN:44990173,20260104,1
IDFM:TN:44990173,20260103,1
IDFM:TN:44990173,20260111,1
IDFM:TN:44990173,20260110,1
IDFM:TN:44990174,20260104,1
IDFM:TN:44990174,20260103,1
IDFM:TN:44990174,20251231,2
IDFM:TN:44990174,20260111,1
IDFM:TN:44990174,20260110,1
IDFM:TN:44990187,20260101,1
IDFM:TN:44990196,20260103,1
IDFM:TN:44990196,20251231,2
IDFM:TN:44990196,20260110,1
IDFM:TN:44990199,20260103,1
IDFM:TN:44990199,20260110,1
IDFM:TN:44990216,20260102,1
IDFM:TN:44990216,20260101,1
IDFM:TN:44990216,20251231,1
IDFM:TN:44990216,20251230,1
IDFM:TN:44990216,20260105,1
IDFM:TN:44990394,20260105,1
IDFM:TN:44990396,20260107,1
IDFM:TN:44990396,20260106,1
IDFM:TN:44990396,20260105,1
IDFM:TN:44990398,20260108,1
IDFM:TN:44990398,20260105,1
IDFM:TN:44990404,20260107,1
IDFM:TN:44990404,20260105,1
IDFM:TN:44990415,20260108,1
IDFM:TN:44990415,20260107,1
IDFM:TN:44990415,20260106,1
IDFM:TN:44990415,20260105,1
IDFM:TN:44990646,20260101,1
IDFM:TN:44990785,20260102,1
IDFM:TN:44990838,20260101,2
IDFM:TN:44990838,20251231,2
IDFM:TN:44990864,20251230,1
IDFM:TN:44990864,20260101,2
IDFM:TN:44991605,20260101,1
IDFM:TN:44991722,20260125,2
IDFM:TN:44991722,20260124,2
IDFM:TN:44991723,20260101,1
IDFM:TN:44991723,20260125,2
IDFM:TN:44991723,20260124,2
IDFM:TN:44991725,20260103,1
IDFM:TN:44991725,20260101,1
IDFM:TN:44991726,20260101,1
IDFM:TN:44991726,20260111,2
IDFM:TN:44991730,20260101,2
IDFM:TN:44991731,20260104,1
IDFM:TN:44991731,20260124,2
IDFM:TN:44991735,20260101,1
IDFM:TN:44991735,20260110,2
IDFM:TN:44991737,20260101,1
IDFM:TN:44991739,20260102,1
IDFM:TN:44991739,20260101,1
IDFM:TN:44991739,20251231,1
IDFM:TN:44991739,20251230,1
IDFM:TN:44991747,20260103,1
IDFM:TN:44991747,20260101,1
IDFM:TN:44991747,20260111,2
IDFM:TN:44991769,20260118,2
IDFM:TN:44991769,20260117,2
IDFM:TN:44991771,20260101,1
IDFM:TN:44991771,20260118,2
IDFM:TN:44991771,20260117,2
IDFM:TN:44991772,20260102,2
IDFM:TN:44991772,20260118,2
IDFM:TN:44991772,20260117,2
IDFM:TN:44991829,20260111,1
IDFM:TN:44991829,20260110,1
IDFM:TN:44991829,20260118,1
IDFM:TN:44991829,20260117,1
IDFM:TN:44991830,20260117,1
IDFM:TN:44991840,20260118,1
IDFM:TN:44991886,20260102,2
IDFM:TN:44991886,20260101,2
IDFM:TN:44991887,20260101,2
IDFM:TN:44991894,20260103,1
IDFM:TN:44991897,20260102,2
IDFM:TN:44991897,20260101,2
IDFM:TN:44991897,20260110,1
IDFM:TN:44991898,20260110,1
IDFM:TN:44991901,20260103,1
IDFM:TN:44991901,20260101,1
IDFM:TN:44991911,20260110,1
IDFM:TN:44991919,20260102,2
IDFM:TN:44991935,20260104,1
IDFM:TN:44991935,20260103,1
IDFM:TN:44992199,20260102,2
IDFM:TN:44992199,20260101,2
IDFM:TN:44992345,20260101,1
IDFM:TN:44992345,20260111,2
IDFM:TN:44992345,20260118,2
IDFM:TN:44992345,20260117,2
IDFM:TN:44992346,20260101,2
IDFM:TN:44992346,20260110,1
IDFM:TN:44992346,20260118,2
IDFM:TN:44992346,20260124,1
IDFM:TN:44992349,20260103,1
IDFM:TN:44992349,20260101,1
IDFM:TN:44992349,20260118,2
IDFM:TN:44992352,20260118,2
IDFM:TN:44992352,20260117,2
IDFM:TN:44992367,20260103,1
IDFM:TN:44992367,20260118,2
IDFM:TN:44992373,20260101,2
IDFM:TN:44992394,20260101,2
IDFM:TN:44992394,20260111,1
IDFM:TN:44992394,20260110,1
IDFM:TN:44992394,20260125,1
IDFM:TN:44992394,20260124,1
IDFM:TN:44992414,20260118,2
IDFM:TN:44992414,20260117,2
IDFM:TN:44992434,20260117,2
IDFM:TN:44992434,20260125,1
IDFM:TN:44992443,20260110,1
IDFM:TN:44992443,20260118,2
IDFM:TN:44992443,20260124,1
IDFM:TN:44992514,20260117,2
IDFM:TN:44992524,20260102,2
IDFM:TN:44992524,20260101,2
IDFM:TN:44992579,20260117,2
IDFM:TN:44992587,20260101,1
IDFM:TN:44992587,20260117,2
IDFM:TN:44992588,20260101,1
IDFM:TN:44992588,20260118,2
IDFM:TN:44992662,20260101,1
IDFM:TN:44992663,20260102,2
IDFM:TN:44992663,20260125,2
IDFM:TN:44992664,20260101,1
IDFM:TN:44992664,20260111,2
IDFM:TN:44992670,20260102,2
IDFM:TN:44992670,20260125,2
IDFM:TN:44992670,20260124,2
IDFM:TN:44992849,20251231,1
