from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:463079,IDFM:21966,2,12
IDFM:monomodalStopPlace:473891,IDFM:monomodalStopPlace:44201,2,189
IDFM:471592,IDFM:472323,2,116
IDFM:472344,IDFM:472323,2,140
IDFM:22156,IDFM:462955,2,11
IDFM:472042,IDFM:monomodalStopPlace:473590,2,18
IDFM:monomodalStopPlace:43133,IDFM:monomodalStopPlace:473362,2,101
IDFM:22218,IDFM:472519,2,303
IDFM:472833,IDFM:2279,2,135
IDFM:470766,IDFM:471389,2,12
IDFM:471604,IDFM:463006,2,225
IDFM:491411,IDFM:472950,2,376
IDFM:22168,IDFM:463026,2,162
IDFM:monomodalStopPlace:477262,IDFM:471738,2,87
IDFM:462972,IDFM:463300,2,140
IDFM:471341,IDFM:472273,2,20
IDFM:471077,IDFM:471030,2,218
IDFM:472766,IDFM:472060,2,22
IDFM:472386,IDFM:472057,2,108
IDFM:463159,IDFM:463158,2,180
IDFM:470774,IDFM:monomodalStopPlace:411387,2,25
IDFM:472625,IDFM:470860,2,53
IDFM:463129,IDFM:22178,2,180
IDFM:21964,IDFM:463300,2,480
IDFM:424724,IDFM:472448,2,234
IDFM:462948,IDFM:462947,2,97
IDFM:472934,IDFM:471063,2,37
IDFM:471691,IDFM:491411,2,352
IDFM:462961,IDFM:463316,2,284
IDFM:471856,IDFM:22007,2,278
IDFM:monomodalStopPlace:470533,IDFM:423884,2,71
IDFM:471918,IDFM:472319,2,38
IDFM:471907,IDFM:monomodalStopPlace:473109,2,47
IDFM:473009,IDFM:471905,2,29
IDFM:472378,IDFM:463182,2,375
IDFM:463309,IDFM:463048,2,300
IDFM:22196,IDFM:463037,2,14
IDFM:463023,IDFM:471077,2,350
IDFM:monomodalStopPlace:473321,IDFM:monomodalStopPlace:43149,2,115
IDFM:21969,IDFM:22162,2,157
IDFM:22195,IDFM:463246,2,180
IDFM:470639,IDFM:monomodalStopPlace:473288,2,183
IDFM:monomodalStopPlace:50904,IDFM:monomodalStopPlace:43127,2,305
IDFM:21906,IDFM:463188,2,86
IDFM:22026,IDFM:462962,2,600
IDFM:471409,IDFM:monomodalStopPlace:473582,2,0
IDFM:471968,IDFM:472030,2,10
IDFM:471150,IDFM:472273,2,38
IDFM:463166,IDFM:22211,2,5
IDFM:monomodalStopPlace:473372,IDFM:monomodalStopPlace:43080,2,54
IDFM:2759,IDFM:monomodalStopPlace:473372,2,36
IDFM:423185,IDFM:monomodalStopPlace:43170,2,205
IDFM:490774,IDFM:490794,2,28
IDFM:3087,IDFM:monomodalStopPlace:43081,2,193
IDFM:463021,IDFM:463022,2,72
IDFM:472013,IDFM:472273,2,67
IDFM:470860,IDFM:472217,2,89
IDFM:monomodalStopPlace:473190,IDFM:472854,2,52
IDFM:monomodalStopPlace:47948,IDFM:3835,2,228
IDFM:monomodalStopPlace:46444,IDFM:480211,2,227
IDFM:17288,IDFM:monomodalStopPlace:473876,2,16
IDFM:monomodalStopPlace:43184,IDFM:monomodalStopPlace:473480,2,94
IDFM:470914,IDFM:monomodalStopPlace:473339,2,11
IDFM:monomodalStopPlace:43081,IDFM:3087,2,193
IDFM:22190,IDFM:463124,2,361
IDFM:33956,IDFM:470606,2,245
IDFM:22052,IDFM:462973,2,14
IDFM:471186,IDFM:471968,2,125
IDFM:470947,IDFM:470879,2,110
IDFM:463072,IDFM:22018,2,120
IDFM:462953,IDFM:22234,2,10
IDFM:471925,IDFM:monomodalStopPlace:43244,2,209
IDFM:monomodalStopPlace:43536,IDFM:463193,2,300
IDFM:monomodalStopPlace:471031,IDFM:463024,2,348
IDFM:monomodalStopPlace:45346,IDFM:21972,2,240
IDFM:2824,IDFM:monomodalStopPlace:48097,2,8
IDFM:463265,IDFM:22369,2,13
IDFM:21921,IDFM:463036,2,14
IDFM:463223,IDFM:21999,2,13
IDFM:471905,IDFM:472766,2,18
IDFM:21928,IDFM:463038,2,26
IDFM:22190,IDFM:22189,2,325
IDFM:monomodalStopPlace:473319,IDFM:monomodalStopPlace:427872,2,67
IDFM:monomodalStopPlace:43077,IDFM:monomodalStopPlace:462330,2,195
IDFM:463178,IDFM:22016,2,12
IDFM:463032,IDFM:463008,2,167
IDFM:471564,IDFM:471148,2,189
IDFM:471950,IDFM:22007,2,375
IDFM:462962,IDFM:21918,2,180
IDFM:monomodalStopPlace:43203,IDFM:480288,2,240
IDFM:monomodalStopPlace:473092,IDFM:monomodalStopPlace:47898,2,91
IDFM:471309,IDFM:22149,2,280
IDFM:22376,IDFM:22079,2,73
IDFM:490850,IDFM:490837,2,3
IDFM:21949,IDFM:21947,2,106
IDFM:22392,IDFM:463155,2,13
IDFM:463197,IDFM:21958,2,420
IDFM:471352,IDFM:monomodalStopPlace:45735,2,228
IDFM:monomodalStopPlace:463857,IDFM:471918,2,344
IDFM:471795,IDFM:monomodalStopPlace:427871,2,137
IDFM:486682,IDFM:21958,2,427
IDFM:21994,IDFM:463108,2,111
IDFM:463008,IDFM:21952,2,304
IDFM:463257,IDFM:22078,2,57
IDFM:monomodalStopPlace:473505,IDFM:471787,2,93
IDFM:462969,IDFM:21963,2,207
IDFM:monomodalStopPlace:45850,IDFM:monomodalStopPlace:473325,2,118
IDFM:463189,IDFM:462969,2,289
IDFM:462970,IDFM:471063,2,303
IDFM:472175,IDFM:monomodalStopPlace:43151,2,26
IDFM:monomodalStopPlace:45873,IDFM:monomodalStopPlace:58718,2,300
IDFM:22391,IDFM:463106,2,349
IDFM:monomodalStopPlace:411378,IDFM:472854,2,5
IDFM:463095,IDFM:22118,2,247
IDFM:21911,IDFM:22218,2,480
IDFM:21955,IDFM:monomodalStopPlace:473115,2,52
IDFM:472914,IDFM:monomodalStopPlace:411317,2,28
IDFM:472890,IDFM:471335,2,146
IDFM:463120,IDFM:412354,2,296
IDFM:463253,IDFM:22129,2,12
IDFM:472950,IDFM:470817,2,93
IDFM:472142,IDFM:472102,2,47
IDFM:472323,IDFM:monomodalStopPlace:43072,2,60
IDFM:412354,IDFM:463116,2,180
IDFM:21964,IDFM:463188,2,274
IDFM:471335,IDFM:472959,2,136
IDFM:21965,IDFM:463063,2,180
IDFM:monomodalStopPlace:477262,IDFM:472407,2,175
IDFM:22149,IDFM:monomodalStopPlace:462394,2,203
IDFM:monomodalStopPlace:411362,IDFM:470928,2,31
IDFM:monomodalStopPlace:43157,IDFM:470860,2,53
IDFM:463183,IDFM:monomodalStopPlace:470519,2,356
IDFM:471462,IDFM:monomodalStopPlace:473064,2,143
IDFM:21962,IDFM:monomodalStopPlace:473237,2,170
IDFM:471795,IDFM:480208,2,75
IDFM:471022,IDFM:472354,2,135
IDFM:monomodalStopPlace:470519,IDFM:472541,2,60
IDFM:monomodalStopPlace:46689,IDFM:monomodalStopPlace:43038,2,235
IDFM:463013,IDFM:22086,2,0
IDFM:monomodalStopPlace:473343,IDFM:monomodalStopPlace:462901,2,118
IDFM:22164,IDFM:463318,2,96
IDFM:monomodalStopPlace:462394,IDFM:470817,2,32
IDFM:470737,IDFM:472104,2,94
IDFM:monomodalStopPlace:43219,IDFM:471389,2,55
IDFM:monomodalStopPlace:462394,IDFM:monomodalStopPlace:58572,2,240
IDFM:471592,IDFM:472344,2,24
IDFM:462954,IDFM:22038,2,361
IDFM:25609,IDFM:monomodalStopPlace:43251,2,215
IDFM:463067,IDFM:21919,2,138
IDFM:21964,IDFM:472519,2,338
IDFM:471918,IDFM:471552,2,16
IDFM:monomodalStopPlace:43223,IDFM:472958,2,19
IDFM:21962,IDFM:471724,2,242
IDFM:22026,IDFM:22199,2,600
IDFM:470833,IDFM:471309,2,17
IDFM:22097,IDFM:22010,2,180
IDFM:471752,IDFM:monomodalStopPlace:47115,2,200
IDFM:monomodalStopPlace:58572,IDFM:471604,2,299
IDFM:28984,IDFM:472013,2,354
IDFM:463310,IDFM:22133,2,0
IDFM:monomodalStopPlace:473855,IDFM:monomodalStopPlace:43211,2,162
IDFM:470767,IDFM:472479,2,80
IDFM:471064,IDFM:472273,2,34
IDFM:monomodalStopPlace:471031,IDFM:471030,2,0
IDFM:471784,IDFM:17404,2,206
IDFM:monomodalStopPlace:473161,IDFM:monomodalStopPlace:43120,2,100
IDFM:21994,IDFM:21997,2,137
IDFM:472034,IDFM:monomodalStopPlace:58572,2,298
IDFM:21952,IDFM:463095,2,13
IDFM:420782,IDFM:monomodalStopPlace:43112,2,185
IDFM:411300,IDFM:monomodalStopPlace:473103,2,36
IDFM:492142,IDFM:monomodalStopPlace:47125,2,226
IDFM:22195,IDFM:22030,2,180
IDFM:472231,IDFM:472385,2,105
IDFM:470734,IDFM:22007,2,239
IDFM:22137,IDFM:463161,2,368
IDFM:471186,IDFM:470817,2,67
IDFM:490794,IDFM:462976,2,840
IDFM:471406,IDFM:monomodalStopPlace:473171,2,201
IDFM:471744,IDFM:monomodalStopPlace:473044,2,52
IDFM:470776,IDFM:462972,2,325
IDFM:22095,IDFM:22170,2,374
IDFM:monomodalStopPlace:473033,IDFM:monomodalStopPlace:47924,2,140
IDFM:462963,IDFM:22026,2,194
IDFM:22200,IDFM:21925,2,269
IDFM:488614,IDFM:38013,2,60
IDFM:463167,IDFM:22212,2,5
IDFM:463105,IDFM:22175,2,0
IDFM:472378,IDFM:monomodalStopPlace:58572,2,308
IDFM:22137,IDFM:monomodalStopPlace:44877,2,300
IDFM:22085,IDFM:463164,2,96
IDFM:monomodalStopPlace:473237,IDFM:472519,2,275
IDFM:21923,IDFM:462956,2,366
IDFM:472986,IDFM:monomodalStopPlace:462330,2,83
IDFM:471607,IDFM:472541,2,144
IDFM:monomodalStopPlace:43098,IDFM:monomodalStopPlace:473049,2,79
IDFM:463008,IDFM:463009,2,236
IDFM:471552,IDFM:472319,2,54
IDFM:471309,IDFM:470734,2,17
IDFM:462993,IDFM:21973,2,159
IDFM:463244,IDFM:463245,2,180
IDFM:21957,IDFM:22178,2,180
IDFM:471890,IDFM:471097,2,25
IDFM:monomodalStopPlace:43131,IDFM:470729,2,30
IDFM:monomodalStopPlace:58718,IDFM:monomodalStopPlace:58566,2,360
IDFM:471046,IDFM:471822,2,26
IDFM:463069,IDFM:472934,2,291
IDFM:470910,IDFM:monomodalStopPlace:43251,2,120
IDFM:491411,IDFM:463182,2,198
IDFM:35253,IDFM:471954,2,70
IDFM:472154,IDFM:monomodalStopPlace:43073,2,7
IDFM:monomodalStopPlace:472778,IDFM:472432,2,192
IDFM:22162,IDFM:21969,2,133
IDFM:monomodalStopPlace:47917,IDFM:472965,2,120
IDFM:monomodalStopPlace:422065,IDFM:monomodalStopPlace:470996,2,137
IDFM:22364,IDFM:463159,2,360
IDFM:462946,IDFM:463316,2,266
IDFM:472008,IDFM:471280,2,51
IDFM:463024,IDFM:monomodalStopPlace:43072,2,240
IDFM:463127,IDFM:22177,2,0
IDFM:462995,IDFM:462998,2,119
IDFM:monomodalStopPlace:43113,IDFM:monomodalStopPlace:473259,2,38
IDFM:463280,IDFM:22003,2,12
IDFM:463182,IDFM:471607,2,234
IDFM:22218,IDFM:471064,2,343
IDFM:22056,IDFM:463084,2,354
IDFM:471950,IDFM:471968,2,78
IDFM:470860,IDFM:monomodalStopPlace:43244,2,172
IDFM:22072,IDFM:463067,2,11
IDFM:22007,IDFM:471950,2,375
IDFM:472737,IDFM:monomodalStopPlace:477262,2,170
IDFM:463304,IDFM:22044,2,13
IDFM:22137,IDFM:462998,2,376
IDFM:471039,IDFM:472714,2,96
IDFM:22218,IDFM:28984,2,195
IDFM:490848,IDFM:22380,2,308
IDFM:monomodalStopPlace:43244,IDFM:471185,2,254
IDFM:22179,IDFM:monomodalStopPlace:58757,2,368
IDFM:monomodalStopPlace:43244,IDFM:470860,2,172
IDFM:472013,IDFM:28984,2,354
IDFM:monomodalStopPlace:473356,IDFM:470900,2,33
IDFM:471709,IDFM:monomodalStopPlace:411317,2,2
IDFM:471176,IDFM:471027,2,86
IDFM:monomodalStopPlace:47181,IDFM:monomodalStopPlace:473479,2,58
IDFM:22087,IDFM:monomodalStopPlace:44877,2,780
IDFM:472060,IDFM:monomodalStopPlace:411440,2,17
IDFM:472625,IDFM:470761,2,8
IDFM:21952,IDFM:22118,2,242
IDFM:monomodalStopPlace:473596,IDFM:monomodalStopPlace:47588,2,148
