route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
IDFM:C01729,IDFM:TN:44809551,IDFM:TN:SNCF:dcdba09d-58f0-4cd5-9b14-3006f65a8526,TANU,118151,1,,,1,0
IDFM:C01743,IDFM:TN:44809551,IDFM:TN:SNCF:8b440483-3821-4bfa-9661-96d4e2a159e8,SODA,SODA38,1,,,1,0
IDFM:C01743,IDFM:TN:44809551,IDFM:TN:SNCF:d99b0cda-efd7-4c37-958c-efacf78d19df,ERUI,ERUI09,1,,,1,0
IDFM:C01739,IDFM:TN:44809551,IDFM:TN:SNCF:7caafedf-f0ce-449a-8e73-89fc69c5d501,PAPE,137606,1,,,1,0
IDFM:C01739,IDFM:TN:44809551,IDFM:TN:SNCF:b99c5889-7987-48a4-a1ab-efa0be7a16a5,EAPE,137593,1,,,1,0
IDFM:C01740,IDFM:TN:44809551,IDFM:TN:SNCF:832f4de4-1514-4bf3-8f44-b067fbc3f527,PALS,134552,1,,,1,0
IDFM:C01740,IDFM:TN:44809551,IDFM:TN:SNCF:4db8a95d-d99b-4056-873e-25db501fdaf8,POPI,135114,1,,,1,0
IDFM:C01740,IDFM:TN:44809551,IDFM:TN:SNCF:561000c8-bd97-4c75-ac54-3f7c77d5ef78,PALS,134584,1,,,1,0
IDFM:C01730,IDFM:TN:44809551,IDFM:TN:SNCF:361e300b-7746-4b53-a092-31b8f8c1f088,MICI,113601,1,,,1,0
IDFM:C01746,IDFM:TN:44809551,IDFM:TN:SNCF:04596741-4b69-4e1e-8402-c5493ec9c95d,Beauvais,847419,1,,,0,0
IDFM:C01730,IDFM:TN:44809551,IDFM:TN:SNCF:d14e8104-2af0-43d2-b34e-b2cb6e047077,XIBU,117543,1,,,1,0
IDFM:C01746,IDFM:TN:44809551,IDFM:TN:SNCF:42ed9c7d-91fd-4fee-b5b9-585d308e0ef9,Beauvais,847413,1,,,0,0
IDFM:C01746,IDFM:TN:44809551,IDFM:TN:SNCF:37dba8af-207d-4966-8e04-fe76b22f94e7,Beauvais,847417,1,,,0,0
IDFM:C01737,IDFM:TN:44809551,IDFM:TN:SNCF:7d296c77-ecc3-4ee7-bd11-96f956ae473a,TIMA,121106,1,,,1,0
IDFM:C01740,IDFM:TN:44809551,IDFM:TN:SNCF:d86c079c-488b-463d-ad91-06e6f67b93f8,POVA,133570,1,,,1,0
IDFM:C01743,IDFM:TN:44809551,IDFM:TN:SNCF:cebfbbaa-3848-41de-b150-e946f4015773,KALI,KALI38,1,,,1,0
IDFM:C01746,IDFM:TN:44809551,IDFM:TN:SNCF:69b574d4-482d-4c14-ad44-8001487c42e1,Beauvais,847433,1,,,0,0
IDFM:C01737,IDFM:TN:44809551,IDFM:TN:SNCF:e1c0673e-7d98-495b-903a-4b29220ba476,POMA,125729,1,,,1,0
IDFM:C01736,IDFM:TN:44809551,IDFM:TN:SNCF:59472a57-55b5-43af-82d8-6402648d9498,ROPO,165421,1,,,1,0
IDFM:C01743,IDFM:TN:44809551,IDFM:TN:SNCF:bf230f7d-3545-4a3f-bf13-463057c4c7c8,SODA,SODA50,1,,,1,0
IDFM:C01742,IDFM:TN:44809551,IDFM:TN:SNCF:6c199ced-cd3c-4a48-a96b-84a2dd0fb095,NELY,NELY90,1,,,1,0
IDFM:C01729,IDFM:TN:44809551,IDFM:TN:SNCF:d1eba7d3-8d23-450d-98d2-e57b6f9aa435,NATU,118176,1,,,1,0
IDFM:C01727,IDFM:TN:44809551,IDFM:TN:SNCF:34955ddb-93c6-458c-a4bf-a03113d4a0f4,JUJU,147289,1,,,1,0
