ARRIVAL_TRAIN;DEPARTURE_TRAIN;MIN_DELAY;ARRIVAL_STATION_UIC;DEPARTURE_STATION_UIC;START_DATE;END_DATE
08444;5455;5;8757124;8757124;2024-01-01;2029-12-15
5440;2543;-1;8717192;8717192;2024-06-06;2029-12-15
9590;9879;-1;8721202;8721202;2025-12-14;2029-12-10
5284;07284;5;8757124;8757124;2024-01-01;2029-12-15
08444;5444;5;8757124;8757124;2024-01-01;2029-12-15
6941;96614;-1;8774100;8774100;2024-12-15;2029-12-15
08260;5060;5;8757124;8757124;2024-01-01;2029-12-15
8582;9598;-1;8758100;8758100;2026-07-04;2026-08-30
8330;05431;5;8757124;8757124;2024-01-01;2029-12-15
5241;07241;5;8757124;8757124;2024-01-01;2029-12-15
4760;12266;20;8758100;8758100;2022-08-17;2030-12-31
4760;8542;20;8758100;8758100;2022-08-17;2030-12-31
8502;5440;14;8758100;8758100;2025-11-12;2026-12-12
8342;05342;5;8757124;8757124;2024-01-01;2029-12-15
8362;05362;5;8757124;8757124;2024-01-01;2029-12-15
9560;5535;-1;8721202;8721202;2024-09-20;2029-12-15
4760;8420;20;8758100;8758100;2022-08-17;2030-12-31
5444;07455;5;8757124;8757124;2024-01-01;2029-12-15
9868;9838;30;8711184;8711184;2024-01-01;2030-12-31
08203;5202;5;8757124;8757124;2024-01-01;2029-12-15
6511;34511;-1;8774500;8774500;2025-10-08;2026-12-15
06485;8485;5;8757124;8757124;2024-01-01;2029-12-15
8344;07455;5;8757124;8757124;2024-01-01;2029-12-15
6949;18570;-1;8774100;8774100;2024-03-15;2029-12-15
06442;8442;5;8757124;8757124;2024-01-01;2029-12-15
96648;9250;-1;8774100;8774100;2024-07-06;2029-12-15
9864;9838;30;8711184;8711184;2024-01-01;2030-12-31
8346;05451;5;8757124;8757124;2024-01-01;2029-12-15
887107;887309;8;8772202;8772202;2025-12-18;2026-12-13
8485;05485;5;8757124;8757124;2024-01-01;2029-12-15
4756;8536;20;8758100;8758100;2022-08-17;2030-12-31
08241;8393;5;8757124;8757124;2024-01-01;2029-12-15
6482;9774;-1;8774500;8774500;2025-10-08;2026-12-15
06377;8377;5;8757124;8757124;2024-01-01;2029-12-15
8450;05451;5;8757124;8757124;2024-01-01;2029-12-15
8350;05350;5;8757124;8757124;2024-01-01;2029-12-15
5260;07261;5;8757124;8757124;2024-01-01;2029-12-15
5440;05437;5;8757124;8757124;2024-01-01;2029-12-15
06461;8461;5;8757124;8757124;2024-01-01;2029-12-15
5440;2571;-1;8717192;8717192;2024-07-06;2029-12-15
5060;07261;5;8757124;8757124;2024-01-01;2029-12-15
08260;5260;5;8757124;8757124;2024-01-01;2029-12-15
8393;05451;5;8757124;8757124;2024-01-01;2029-12-15
18525;6986;-1;8774100;8774100;2024-12-15;2029-12-15
08300;5300;5;8757124;8757124;2024-01-01;2029-12-15
5359;07359;5;8757124;8757124;2024-01-01;2029-12-15
61619;60859;-1;8757643;8757643;2025-11-12;2026-12-12
8378;05378;5;8757124;8757124;2024-01-01;2029-12-15
