CODE_UIC;DESCRIPTION;LOCALITY_UIC
70308700;LONDON PADDINGTON;70970011
87982504;GENNEVILLIERS LES GRESILLONS;
88821074;LA LOUVIERE CENTRE;
56179150;ZILINA;
88967356;POPERINGE;
87982892;FRANCONVILLE - CROIX ROUGE;
87742221;CHALONS-EN-CHAMPAGNE MARNE;51017400
87742239;HAGONDANGE BALLASTIERE;57019110
87742288;MEYRARGUES LA PRISE;
87742262;TOULON SAINTE-MUSSE;83075500
87742247;AUBOUE CENTRE;87752238
87742254;HATRIZE CENTRE;54019270
80296939;ELLWANGEN;
80296988;OBERKOCHEN;
87742320;SAINT-JEAN-DE-MAURIENNE ARVAN;
87742304;SAINT-FLORENT-DES-BOIS RUE DU GENERAL DE GAULLE;
87742395;LA PRAZ;
87742353;SAINT-JULIEN-MONT-DENIS - MONTRICHER-ALBANNE;
87742361;SAINT-MICHEL - VALLOIRE;
80296855;CRAILSHEIM;
80150508;KREFELD UERDINGEN;80915035
87742007;MODANE;
87742015;NOIRETABLE PLACE PASSELIERE;
87742049;HAUTECOURT MAIRIE;
87742056;GRENOBLE CITE INTERNATIONALE;38074700
87742197;SCHIRMECK CITE SCOLAIRE;
87982330;PORTE DE LA CHAPELLE;
87742668;LEAZ;
87742676;ECORANS;
87742650;THOIRY VAL THOIRY;01055607
87742627;LEAZ LONGERAY;
87742601;COLLONGES POSTE;
87742684;PREGNIN;
87742692;VANCHY;
87982231;PORTE D'ASNIERES;
87742726;BELLEGARDE-SUR-VALSERINE LYCEE;01074500
88331751;WIJGMAAL;
87982116;FOYER DES BRUYERES;
87982124;TREMBLAY-EN-FRANCE - MARGUILLIERS;
87982074;VILLEPINTE ESPACE V;
80056424;HUNFELD;
71230219;PADRON-BARBANZA;
80056481;BAD HERSFELD;
54365759;UHERSKE HRADISTE;
74029769;NYKOPING C;
71230102;PONTECESURES;
71230110;PADRON;
74029744;NYKVARN;
71230136;OSEBE;
54365858;UHERSKY BROD;
71230086;VILAGARCIA DE AROUSA;
71230094;CATOIRA;
71230045;PONTEVEDRA;
71230052;PORTELA;
80296350;NECKARSULM;
71230003;REDONDELA-PICOTA;71922300
71230011;CESANTES;
80296376;BAD FRIEDRICHSHALL HBF;
71230029;ARCADE;
54365551;TREBIC;
70641704;DONCASTER;
87398735;BAR-SUR-AUBE HOTEL DE VILLE;10011829
74029595;NYBRO;
74029538;NOTVIKEN;
80296293;HEILBRONN HBF;
80150045;KLEVE;
87408971;REUGNY RN144;03040899
87408948;ROUEYRE;
87408955;RIS;
87408989;PUY-GUILLAUME;63073232
87408906;MEAULNE PLACE CENTRALE;
87492108;LES ARDOINES;
87502039;ANDRE MALRAUX;
87502047;PYRAMIDE DE BRUNOY;
71376111;GARROVILLA-LAS VEGAS;
80150169;GOCH;
87408831;LES QUATRE ROUTES DE SAIGNES;
80296442;MOCKMUHL;
74029306;NORRKOPING C;
71376046;GUADIANA;
80150201;WEEZE;
71376061;BADAJOZ;
80150219;KEVELAER;
71376004;ALJUCEN;
80150250;GELDERN;
71376038;MONTIJO;
80296764;SCHWABISCH HALL;
80150300;KEMPEN (NIEDERRHEIN);
80150359;KREFELD HBF;80915035
87158162;PREVESSIN-MOENS MAIRIE;
87158170;VERSONNEX VILLAGE;
87158154;FERNEY-VOLTAIRE LYCEE;01015766
80056051;BEBRA;
80056341;NEUHOF (KR FULDA);
80056374;FULDA;
88330010;LEUVEN;
87983940;PARIS BASTILLE;
94480095;MANGUALDE;
87983619;PORTE DE PARIS;
70153601;LUTON;
94240002;GUIMARAES;
94730077;FARO;
53140376;GIURGIU NORD;
87743435;LES NEYROLLES CENTRE;
87493858;TASSENIERES;
87743419;NANTUA MEDIATHEQUE;
87743427;SAINT-FLORENT-DES-BOIS LE PAVILLON;
87493833;PLAINOISEAU;
87493841;SAINT-GERMAIN-LES-ARLAY;
87983155;RIS-ORANGIS - DAUMESNIL;
87983163;QUAI DE LA GARE;
80295741;WINNENDEN;
80295774;BACKNANG;
87743526;BELLIGNAT;01074350
87743534;OYONNAX;
87743500;MONTREAL;01069150
87743518;MARTIGNAT;
87743583;VAUX-LES-SAINT-CLAUDE;
87743591;MOLINGES VILLAGE;
87743567;DORTAN - LAVANCIA-EPERCY;
87743575;JEURRE - VAUX-LES-SAINT-CLAUDE;
87743211;LE MOULIN DES PONTS;
87743229;COLIGNY;
87743203;SAINT-ETIENNE-DU-BOIS;
87743328;VILLEREVERSURE;
87743336;SIMANDRE-SUR-SURAN;
87743302;CEYZERIAT;
87743344;CIZE - BOLOZON;
87743351;NURIEUX GARE;
80295832;MURRHARDT;
80295873;GAILDORF WEST;
87743872;LE MANS HOPITAL-UNIVERSITE;72039600
87743906;L'EPINE;
88330506;VERTRIJK;
87743633;SAINT-CLAUDE;
87743617;LAVANS-LES-SAINT-CLAUDE - SAINT-LUPICIN;
87743625;BEZIERS FREDERIC MISTRAL;
87743609;CHASSAL;
87983361;PLACE GOUNOT;
87743690;COMMERCY ZONE DU SEUGNON;
87743773;ROSSILLON;
87743740;SAINT-RAMBERT-EN-BUGEY;
87743757;TENAY - HAUTEVILLE;
87743732;TORCIEU;
87743716;AMBERIEU-EN-BUGEY;
87983262;JEAN-PIERRE TIMBAUD;
87409698;SAINT-EBLE;
87409771;LETRA GABODIERE;
87409763;BOIS D'OINGT;69072178
87409664;SAINT-SAUVES-D'AUVERGNE BOURG;63040966
87409656;SAINT-YORRE - CITE DE LA VERRERIE;03073230
85094060;SEVELEN;
85094078;WEITE;
85094086;TRUBBACH;
85094045;BUCHS SG;
85094052;RAFIS-BURGERAU;
85094110;SARGANS;
80295154;WAIBLINGEN;
85094136;FLUMS;
85094144;WALENSTADT;
85094169;UNTERTERZEN;
80295014;PFORZHEIM HBF;
87743005;BOURG-EN-BRESSE;01069601
87743104;LA VAVRETTE - TOSSIAT - R.D. 1075;
87743112;SAINT-MARTIN-DU-MONT;
87743161;GAUDINES;
87743146;AMBRONAY - PRIAY;01074310
87743120;PONT-D'AIN;
80295253;SCHORNDORF;
87493619;LE DESCHAUX;
87503524;L'HABITARELLE;
80295501;WASSERALFINGEN;
80295527;GOLDSHOFE;
80295410;SCHWABISCH GMUND;
80295493;AALEN HBF;
71377044;VILLANUEVA DE CORDOBA-LOS PEDROCHES;
